unit_number,apu_type,has_optimized_idle,continuous_idle_h_30d,learned_pattern,engine_off_share,notes
725,,,1.2,apu,100%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
787,,,0.6,apu,100%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
635,,,0,apu,100%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
639,,,0,apu,100%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
660,,,0,unknown,0%,no clear pattern — check the spec sheet
663,,,0,apu,100%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
676 - OLD,,,0,unknown,0%,no clear pattern — check the spec sheet
677,,,0,unknown,0%,no clear pattern — check the spec sheet
681,,,0,unknown,0%,no clear pattern — check the spec sheet
720,,,0,unknown,0%,no clear pattern — check the spec sheet
733 - OLD,,,0,unknown,0%,no clear pattern — check the spec sheet
738 - OLD,,,0,unknown,0%,no clear pattern — check the spec sheet
739 - OLD,,,0,unknown,0%,no clear pattern — check the spec sheet
748 - OLD,,,0,unknown,0%,no clear pattern — check the spec sheet
